CountyName,TimeStamp,ConfirmedCovidCases
Cavan,2020-03-17,0
Clare,2020-03-17,0
Cork,2020-03-17,0
Donegal,2020-03-17,0
Dublin,2020-03-17,0
Galway,2020-03-17,0
Kerry,2020-03-17,0
Kildare,2020-03-17,0
Kilkenny,2020-03-17,0
Laois,2020-03-17,0
Leitrim,2020-03-17,0
Limerick,2020-03-17,0
Longford,2020-03-17,0
Louth,2020-03-17,0
Mayo,2020-03-17,0
Meath,2020-03-17,0
Monaghan,2020-03-17,0
Offaly,2020-03-17,0
Roscommon,2020-03-17,0
Sligo,2020-03-17,0
Tipperary,2020-03-17,0
Waterford,2020-03-17,0
Westmeath,2020-03-17,0
Wexford,2020-03-17,0
Wicklow,2020-03-17,0
Carlow,2020-03-18,0
Cavan,2020-03-18,0
Clare,2020-03-18,0
Cork,2020-03-18,0
Donegal,2020-03-18,0
Dublin,2020-03-18,0
Galway,2020-03-18,0
Kerry,2020-03-18,0
Kildare,2020-03-18,0
Kilkenny,2020-03-18,0
Laois,2020-03-18,0
Leitrim,2020-03-18,0
Limerick,2020-03-18,0
Longford,2020-03-18,0
Louth,2020-03-18,0
Mayo,2020-03-18,0
Meath,2020-03-18,0
Monaghan,2020-03-18,0
Offaly,2020-03-18,0
Roscommon,2020-03-18,0
Sligo,2020-03-18,0
Tipperary,2020-03-18,0
Waterford,2020-03-18,0
Westmeath,2020-03-18,0
Wexford,2020-03-18,0
Wicklow,2020-03-18,0
Carlow,2020-03-19,0
Cavan,2020-03-19,0
Clare,2020-03-19,0
Cork,2020-03-19,0
Donegal,2020-03-19,0
Dublin,2020-03-19,0
Galway,2020-03-19,0
Kerry,2020-03-19,0
Kildare,2020-03-19,0
Kilkenny,2020-03-19,0
Laois,2020-03-19,0
Leitrim,2020-03-19,0
Limerick,2020-03-19,0
Longford,2020-03-19,0
Louth,2020-03-19,0
Mayo,2020-03-19,0
Meath,2020-03-19,0
Monaghan,2020-03-19,0
Offaly,2020-03-19,0
Roscommon,2020-03-19,0
Sligo,2020-03-19,0
Tipperary,2020-03-19,0
Waterford,2020-03-19,0
Westmeath,2020-03-19,0
Wexford,2020-03-19,0
Wicklow,2020-03-19,0
Carlow,2020-03-20,0
Cavan,2020-03-20,0
Clare,2020-03-20,0
Cork,2020-03-20,0
Donegal,2020-03-20,0
Dublin,2020-03-20,0
